bodytype,Car_seats,modelYear,kilometer,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,gear_box,Mileage,drivetype,city
Hatchback,5.0,2017,40000,Petrol,2,Automatic,994999,Third Party insurance,1197.0,Volkswagen,7,17.21,FWD,bangalore
SUV,5.0,2012,85565,Petrol,2,Automatic,935000,Comprehensive,2354.0,Honda,5,11.1,AWD,bangalore
SUV,5.0,2018,36916,Petrol,1,Manual,834000,Comprehensive,1497.0,Ford,5,17.0,FWD,bangalore
Hatchback,5.0,2015,90000,Diesel,1,Manual,560000,Third Party insurance,1498.0,Volkswagen,5,20.14,FWD,bangalore
Hatchback,5.0,2012,112795,Petrol,1,Manual,454000,Comprehensive,1197.0,Maruti,5,22.38,FWD,bangalore
Sedan,5.0,2021,11000,Petrol,1,Automatic,3690000,Comprehensive,1332.0,Mercedes-Benz,7,18.9,FWD,bangalore
MUV,7.0,2014,120000,Petrol,2,Manual,1100000,Third Party insurance,1998.0,Toyota,5,11.4,RWD,bangalore
Hatchback,5.0,2016,36685,Petrol,2,Manual,462000,Comprehensive,1198.0,Honda,5,19.4,FWD,bangalore
SUV,7.0,2012,120000,Diesel,2,Automatic,900000,Third Party insurance,2199.0,Hyundai,6,11.72,AWD,bangalore
Sedan,4.0,2022,4000,Petrol,1,Automatic,7900000,Comprehensive,1998.0,BMW,8,13.32,FWD,bangalore
Hatchback,5.0,2019,32184,Petrol,2,Automatic,843000,Third Party,1197.0,Maruti,5,21.4,FWD,bangalore
Hatchback,5.0,2018,32279,Petrol,1,Manual,799000,Comprehensive,998.0,Maruti,5,21.1,FWD,bangalore
Hatchback,5.0,2015,59698,Petrol,1,Manual,576000,Comprehensive,1197.0,Hyundai,5,18.6,FWD,bangalore
SUV,5.0,2018,46071,Diesel,1,Manual,949000,Comprehensive,1461.0,Renault,6,20.37,FWD,bangalore
SUV,5.0,2017,90000,Diesel,1,Manual,795000,Third Party insurance,1248.0,Maruti,5,24.3,FWD,bangalore
SUV,5.0,2019,9554,Petrol,1,Manual,1085000,Third Party,998.0,Hyundai,6,18.27,FWD,bangalore
SUV,5.0,2022,14000,Petrol,1,Automatic,2590000,Comprehensive,1368.0,Jeep,7,14.1,4WD,bangalore
SUV,5.0,2013,74499,Diesel,2,Manual,516000,Third Party,1461.0,Renault,5,20.45,FWD,bangalore
SUV,5.0,2017,56211,Petrol,2,Automatic,777000,Comprehensive,1497.0,Ford,6,14.8,FWD,bangalore
Hatchback,5.0,2019,9001,Petrol,1,Manual,753000,Comprehensive,1199.0,Honda,5,18.2,FWD,bangalore
SUV,7.0,2017,65457,Diesel,2,Automatic,1226000,Third Party insurance,1997.0,Mahindra,6,16.0,FWD,bangalore
Hatchback,5.0,2017,23682,Petrol,1,Manual,725000,Comprehensive,1199.0,Honda,5,18.7,FWD,bangalore
Sedan,5.0,2020,50000,Diesel,1,Manual,1150000,Third Party insurance,1582.0,Hyundai,6,22.0,FWD,bangalore
Hatchback,5.0,2015,134557,Diesel,2,Manual,629000,Comprehensive,1248.0,Maruti,5,25.2,FWD,bangalore
Sedan,5.0,2013,96567,Petrol,2,Manual,447000,Comprehensive,1197.0,Maruti,5,22.41,FWD,bangalore
Hatchback,5.0,2015,120000,Petrol,3,Manual,400000,Third Party insurance,998.0,Maruti,5,23.1,FWD,bangalore
MUV,7.0,2014,83007,Diesel,2,Manual,786000,Comprehensive,1248.0,Maruti,5,20.77,FWD,bangalore
Hatchback,5.0,2018,34000,Petrol,1,Manual,745000,Comprehensive,1199.0,Honda,5,18.7,FWD,bangalore
Hatchback,5.0,2014,81634,Petrol,1,Automatic,490000,Comprehensive,1197.0,Hyundai,4,18.9,FWD,bangalore
Sedan,5.0,2017,57284,Petrol,2,Automatic,942000,Comprehensive,1497.0,Honda,5,18.0,FWD,bangalore
SUV,5.0,2016,70000,Petrol,2,Automatic,675000,Third Party insurance,1499.0,Ford,6,15.63,FWD,bangalore
Hatchback,5.0,2013,70000,Petrol,2,Manual,330000,Third Party insurance,1198.0,Honda,5,19.4,FWD,bangalore
Sedan,5.0,2018,46429,Petrol,2,Automatic,875000,Third Party insurance,1496.0,Toyota,7,17.8,FWD,bangalore
Hatchback,5.0,2017,17624,Petrol,1,Manual,869000,Comprehensive,1197.0,Maruti,5,21.4,FWD,bangalore
Sedan,5.0,2012,100000,Diesel,2,Manual,425000,Third Party insurance,1598.0,Volkswagen,5,20.54,FWD,bangalore
Sedan,5.0,2019,30000,Petrol,1,Manual,1070000,Third Party insurance,1497.0,Honda,5,17.4,FWD,bangalore
SUV,5.0,2018,49690,Petrol,2,Manual,1025000,Third Party insurance,1496.0,Ford,5,15.9,FWD,bangalore
SUV,7.0,2016,110000,Diesel,1,Manual,1000000,Third Party insurance,2179.0,Mahindra,6,16.0,FWD,bangalore
Sedan,5.0,2009,50000,Petrol,1,Manual,375000,Third Party insurance,1368.0,Fiat,5,16.0,FWD,bangalore
Sedan,5.0,2009,50000,Petrol,1,Manual,375000,Third Party insurance,1368.0,Fiat,5,16.0,FWD,bangalore
SUV,5.0,2018,55702,Petrol,1,Automatic,844000,Comprehensive,1497.0,Ford,6,14.8,FWD,bangalore
Hatchback,5.0,2016,45046,Diesel,1,Manual,764000,Third Party insurance,1396.0,Hyundai,6,21.19,FWD,bangalore
Hatchback,5.0,2014,53000,Petrol,2,Manual,420000,Third Party insurance,1197.0,Maruti,5,18.5,FWD,bangalore
Hatchback,5.0,2016,94695,Diesel,1,Manual,684000,Third Party insurance,1248.0,Maruti,5,27.39,FWD,bangalore
Hatchback,5.0,2019,22162,Petrol,1,Manual,802999,Zero Dep,1197.0,Maruti,5,21.4,FWD,bangalore
Hatchback,5.0,2010,70000,Petrol,2,Manual,320000,Third Party insurance,1086.0,Hyundai,5,17.92,FWD,bangalore
Sedan,5.0,2017,115331,Diesel,1,Manual,803999,Comprehensive,1498.0,Honda,6,26.0,FWD,bangalore
Sedan,5.0,2013,70000,Diesel,2,Automatic,1400000,Third Party insurance,2148.0,Mercedes-Benz,5,10.0,RWD,bangalore
Hatchback,5.0,2016,42233,Petrol,2,Manual,548000,Comprehensive,1197.0,Maruti,5,22.38,FWD,bangalore
Hatchback,5.0,2019,20941,Petrol,1,Manual,619000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,bangalore
